object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation
articulated,part,100,0,2.0,0.06291520595550537,0.016326094046235085
articulated,none,100,1,0.0,0.033135510981082916,0.025063710287213326
articulated,global,100,1,0.001,0.0329350084066391,0.02491815760731697
articulated,global,100,1,0.01,0.0356442965567112,0.027513964101672173
articulated,global,100,1,0.1,0.03811388835310936,0.029747508466243744
articulated,global,100,1,0.3,0.05287688598036766,0.024473652243614197
articulated,global,100,1,1.0,0.0787428468465805,0.013332926668226719
articulated,global,100,1,2.0,0.08121403306722641,0.009280138649046421
articulated,part,100,1,0.001,0.03315498307347298,0.025065364316105843
articulated,part,100,1,0.01,0.03211406618356705,0.024304354563355446
articulated,part,100,1,0.1,0.03454933315515518,0.025935159996151924
articulated,part,100,1,0.3,0.04160357639193535,0.026609601452946663
articulated,part,100,1,1.0,0.07689416408538818,0.012533357366919518
articulated,part,100,1,2.0,0.08070197701454163,0.008393649943172932
articulated,none,100,2,0.0,0.024579495191574097,0.018580399453639984
articulated,global,100,2,0.001,0.024585362523794174,0.018583428114652634
articulated,global,100,2,0.01,0.024587523192167282,0.01856161467730999
articulated,global,100,2,0.1,0.025537265464663506,0.018556298688054085
articulated,global,100,2,0.3,0.028739064931869507,0.020742740482091904
articulated,global,100,2,1.0,0.06496872752904892,0.022125152871012688
articulated,global,100,2,2.0,0.08048442006111145,0.011596516706049442
articulated,part,100,2,0.001,0.02456924505531788,0.018566429615020752
articulated,part,100,2,0.01,0.024571547284722328,0.018530676141381264
articulated,part,100,2,0.1,0.02488311007618904,0.018180646002292633
articulated,part,100,2,0.3,0.02678585611283779,0.01846936345100403
articulated,part,100,2,1.0,0.04197070375084877,0.02290206588804722
articulated,part,100,2,2.0,0.07353846728801727,0.017429068684577942
articulated,none,500,0,0.0,0.008280311711132526,0.0055444869212806225
articulated,global,500,0,0.001,0.008276460692286491,0.005536118056625128
articulated,global,500,0,0.01,0.008266357704997063,0.005509867332875729
articulated,global,500,0,0.1,0.008609255775809288,0.005879311356693506
articulated,global,500,0,0.3,0.00965349841862917,0.00658154021948576
articulated,global,500,0,1.0,0.014384672977030277,0.007539004553109407
articulated,global,500,0,2.0,0.01857941597700119,0.009464734233915806
articulated,part,500,0,0.001,0.008276360109448433,0.005535715259611607
articulated,part,500,0,0.01,0.008274047635495663,0.00550455367192626
articulated,part,500,0,0.1,0.008125953376293182,0.00533608254045248
articulated,part,500,0,0.3,0.008288029581308365,0.005689912009984255
articulated,part,500,0,1.0,0.008133760653436184,0.004320801235735416
articulated,part,500,0,2.0,0.010444902814924717,0.007167890667915344
articulated,none,500,1,0.0,0.009405037388205528,0.006374636199325323
articulated,global,500,1,0.001,0.009430266916751862,0.006399836391210556
articulated,global,500,1,0.01,0.009534469805657864,0.00652284175157547
